"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Al-Farouq Aminu","Portland Trail Blazers","2018-10-18","LAL",5,NA
"2","Al-Farouq Aminu","Portland Trail Blazers","2018-10-20","SAS",14,12.65006500444
"3","Al-Farouq Aminu","Portland Trail Blazers","2018-10-22","WAS",22,13.0212044977082
"4","Al-Farouq Aminu","Portland Trail Blazers","2018-10-25","ORL",4,14.1351427669553
"5","Al-Farouq Aminu","Portland Trail Blazers","2018-10-27","MIA",2,13.2636672502334
"6","Al-Farouq Aminu","Portland Trail Blazers","2018-10-29","IND",13,12.9659330808081
"7","Al-Farouq Aminu","Portland Trail Blazers","2018-10-30","HOU",5,12.8040416666667
"8","Al-Farouq Aminu","Portland Trail Blazers","2018-11-01","NOP",21,15.7325829517705
"9","Al-Farouq Aminu","Portland Trail Blazers","2018-11-03","LAL",4,11.6419108469145
"10","Al-Farouq Aminu","Portland Trail Blazers","2018-11-04","MIN",8,12.6650957792208
"11","Al-Farouq Aminu","Portland Trail Blazers","2018-11-06","MIL",12,13.8088472222222
"12","Al-Farouq Aminu","Portland Trail Blazers","2018-11-08","LAC",15,12.197883456821
"13","Al-Farouq Aminu","Portland Trail Blazers","2018-11-11","BOS",17,10.7623930167055
"14","Al-Farouq Aminu","Portland Trail Blazers","2018-11-14","LAL",26,11.2850627705628
"15","Al-Farouq Aminu","Portland Trail Blazers","2018-11-16","MIN",7,13.0120144724557
"16","Al-Farouq Aminu","Portland Trail Blazers","2018-11-18","WAS",13,15.7436543803419
"17","Al-Farouq Aminu","Portland Trail Blazers","2018-11-20","NYK",10,14.3425678002553
"18","Al-Farouq Aminu","Portland Trail Blazers","2018-11-21","MIL",4,11.4368561299811
"19","Al-Farouq Aminu","Portland Trail Blazers","2018-11-23","GSW",16,13.4347231240981
"20","Al-Farouq Aminu","Portland Trail Blazers","2018-11-25","LAC",0,12.8684495643246
"21","Al-Farouq Aminu","Portland Trail Blazers","2018-11-28","ORL",4,12.6869201631702
"22","Al-Farouq Aminu","Portland Trail Blazers","2018-11-30","DEN",24,13.3636067612943
"23","Al-Farouq Aminu","Portland Trail Blazers","2018-12-02","SAS",28,12.5452797619048
"24","Al-Farouq Aminu","Portland Trail Blazers","2018-12-04","DAL",14,12.820433531746
"25","Al-Farouq Aminu","Portland Trail Blazers","2018-12-06","PHO",10,12.0028591269841
"26","Al-Farouq Aminu","Portland Trail Blazers","2018-12-08","MIN",14,13.2092171239708
"27","Al-Farouq Aminu","Portland Trail Blazers","2018-12-11","HOU",14,13.8479761904762
"28","Al-Farouq Aminu","Portland Trail Blazers","2018-12-12","MEM",14,14.9813539385451
"29","Al-Farouq Aminu","Portland Trail Blazers","2018-12-14","TOR",19,11.4682312201687
"30","Al-Farouq Aminu","Portland Trail Blazers","2018-12-17","LAC",10,14.0911171059333
"31","Al-Farouq Aminu","Portland Trail Blazers","2018-12-19","MEM",3,14.2311171961209
"32","Al-Farouq Aminu","Portland Trail Blazers","2018-12-21","UTA",7,12.4687198565324
"33","Al-Farouq Aminu","Portland Trail Blazers","2018-12-23","DAL",11,15.2104876867414
"34","Al-Farouq Aminu","Portland Trail Blazers","2018-12-25","UTA",15,13.0694128787879
"35","Al-Farouq Aminu","Portland Trail Blazers","2018-12-27","GSW",9,9.54673863636364
"36","Al-Farouq Aminu","Portland Trail Blazers","2018-12-29","GSW",11,13.3650712004499
"37","Al-Farouq Aminu","Portland Trail Blazers","2018-12-30","PHI",18,12.8769539141414
"38","Al-Farouq Aminu","Portland Trail Blazers","2019-01-01","SAC",19,12.1181757278669
"39","Al-Farouq Aminu","Portland Trail Blazers","2019-01-04","OKC",20,15.0583071311858
"40","Al-Farouq Aminu","Portland Trail Blazers","2019-01-05","HOU",9,12.4511757278669
"41","Al-Farouq Aminu","Portland Trail Blazers","2019-01-07","NYK",10,13.2919636335886
"42","Al-Farouq Aminu","Portland Trail Blazers","2019-01-09","CHI",8,15.354099476912
"43","Al-Farouq Aminu","Portland Trail Blazers","2019-01-11","CHO",11,15.4712982026144
"44","Al-Farouq Aminu","Portland Trail Blazers","2019-01-13","DEN",11,11.7313306277056
"45","Al-Farouq Aminu","Portland Trail Blazers","2019-01-14","SAC",15,13.1246324647575
"46","Al-Farouq Aminu","Portland Trail Blazers","2019-01-16","CLE",18,12.4600324675325
"47","Al-Farouq Aminu","Portland Trail Blazers","2019-01-18","NOP",21,13.5492585200747
"48","Al-Farouq Aminu","Portland Trail Blazers","2019-01-21","UTA",8,11.5297520535021
"49","Al-Farouq Aminu","Portland Trail Blazers","2019-01-22","OKC",4,12.8652104500891
"50","Al-Farouq Aminu","Portland Trail Blazers","2019-01-24","PHO",9,15.1430933865971
"51","Al-Farouq Aminu","Portland Trail Blazers","2019-01-26","ATL",21,13.0008217415754
"52","Al-Farouq Aminu","Portland Trail Blazers","2019-01-30","UTA",2,13.9812362706738
"53","Al-Farouq Aminu","Portland Trail Blazers","2019-02-05","MIA",7,14.0235769724557
"54","Al-Farouq Aminu","Portland Trail Blazers","2019-02-07","SAS",11,10.6268054176216
"55","Al-Farouq Aminu","Portland Trail Blazers","2019-02-10","DAL",2,13.6772858738484
"56","Al-Farouq Aminu","Portland Trail Blazers","2019-02-11","OKC",17,12.0822357026144
"57","Al-Farouq Aminu","Portland Trail Blazers","2019-02-13","GSW",16,13.2413095238095
"58","Al-Farouq Aminu","Portland Trail Blazers","2019-02-21","BRK",17,13.3932044977082
"59","Al-Farouq Aminu","Portland Trail Blazers","2019-02-23","PHI",15,9.75745585052202
"60","Al-Farouq Aminu","Portland Trail Blazers","2019-02-25","CLE",9,14.142441468254
"61","Al-Farouq Aminu","Portland Trail Blazers","2019-02-27","BOS",6,12.5410538419913
"62","Al-Farouq Aminu","Portland Trail Blazers","2019-03-01","TOR",14,11.9307781177156
"63","Al-Farouq Aminu","Portland Trail Blazers","2019-03-03","CHO",16,14.8387347105509
"64","Al-Farouq Aminu","Portland Trail Blazers","2019-03-05","MEM",9,16.1420551470588
"65","Al-Farouq Aminu","Portland Trail Blazers","2019-03-07","OKC",9,12.883256021756
"66","Al-Farouq Aminu","Portland Trail Blazers","2019-03-09","PHO",7,16.3644797502334
"67","Al-Farouq Aminu","Portland Trail Blazers","2019-03-12","LAC",4,13.747334818776
"68","Al-Farouq Aminu","Portland Trail Blazers","2019-03-15","NOP",6,11.9080221653347
"69","Al-Farouq Aminu","Portland Trail Blazers","2019-03-16","SAS",2,15.6440486111111
"70","Al-Farouq Aminu","Portland Trail Blazers","2019-03-18","IND",24,12.4236062834225
"71","Al-Farouq Aminu","Portland Trail Blazers","2019-03-20","DAL",8,14.2638422619048
"72","Al-Farouq Aminu","Portland Trail Blazers","2019-03-23","DET",26,14.4931349206349
"73","Al-Farouq Aminu","Portland Trail Blazers","2019-03-25","BRK",6,13.1804013139638
"74","Al-Farouq Aminu","Portland Trail Blazers","2019-03-27","CHI",12,17.7686121031746
"75","Al-Farouq Aminu","Portland Trail Blazers","2019-03-29","ATL",19,12.6863235722611
"76","Al-Farouq Aminu","Portland Trail Blazers","2019-03-30","DET",0,14.4519955808081
"77","Al-Farouq Aminu","Portland Trail Blazers","2019-04-01","MIN",11,13.4019519724556
"78","Al-Farouq Aminu","Portland Trail Blazers","2019-04-03","MEM",9,13.4627318722944
"79","Al-Farouq Aminu","Portland Trail Blazers","2019-04-05","DEN",16,14.858974789916
"80","Al-Farouq Aminu","Portland Trail Blazers","2019-04-07","DEN",25,13.8644171869797
